"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 04 16:17:03 AMT 2024","Thu Jul 04 16:17:04 AMT 2024","749","","Booking retrieval tests","TestBookingGet","","","Test Retrieve All Bookings","This test verifies that all bookings can be retrieved successfully"
"passed","Thu Jul 04 16:17:06 AMT 2024","Thu Jul 04 16:17:07 AMT 2024","605","","Booking Update Tests","TestBookingUpdate","","","Test Booking Full Update","This test verifies that a booking can be fully updated successfully"
"passed","Thu Jul 04 16:17:04 AMT 2024","Thu Jul 04 16:17:05 AMT 2024","606","","Booking retrieval tests","TestBookingGet","","","Test Retrieve Booking by Date","This test verifies that booking can be retrieved successfully using dates"
"passed","Thu Jul 04 16:17:04 AMT 2024","Thu Jul 04 16:17:04 AMT 2024","595","","Booking retrieval tests","TestBookingGet","","","Test Retrieve Booking by Name","This test verifies that booking can be retrieved successfully using name"
"passed","Thu Jul 04 16:17:11 AMT 2024","Thu Jul 04 16:17:11 AMT 2024","600","","Booking Update Tests","TestBookingUpdate","","","Test Booking Partial Update","This test verifies that a booking can be partially updated successfully"
"passed","Thu Jul 04 16:17:16 AMT 2024","Thu Jul 04 16:17:16 AMT 2024","603","","Booking Delete Tests","TestBookingDelete","","","Test Booking Negative Delete","This test verifies that an invalid delete of a booking returns the appropriate error response"
"passed","Thu Jul 04 16:17:15 AMT 2024","Thu Jul 04 16:17:16 AMT 2024","604","","Booking Delete Tests","TestBookingDelete","","","Test Booking Delete","This test verifies that a booking can be deleted successfully"
"passed","Thu Jul 04 16:17:07 AMT 2024","Thu Jul 04 16:17:08 AMT 2024","616","","Booking Update Tests","TestBookingUpdate","","","Test Booking Full Update","This test verifies that a booking can be fully updated successfully"
"passed","Thu Jul 04 16:17:05 AMT 2024","Thu Jul 04 16:17:05 AMT 2024","600","","Booking retrieval tests","TestBookingGet","","","Test Retrieve Booking by ID","This test verifies that booking can be retrieved successfully using id"
"passed","Thu Jul 04 16:17:08 AMT 2024","Thu Jul 04 16:17:09 AMT 2024","596","","Booking Update Tests","TestBookingUpdate","","","Test Booking Negative Full Update","This test verifies that an invalid update to a booking returns the appropriate error response"
"passed","Thu Jul 04 16:17:10 AMT 2024","Thu Jul 04 16:17:10 AMT 2024","598","","Booking Update Tests","TestBookingUpdate","","","Test Booking Negative Full Update","This test verifies that an invalid update to a booking returns the appropriate error response"
"passed","Thu Jul 04 16:17:13 AMT 2024","Thu Jul 04 16:17:14 AMT 2024","611","","Booking Update Tests","TestBookingUpdate","","","Test Booking Negative Partial Update","This test verifies that an invalid update to a booking returns the appropriate error response"
"passed","Thu Jul 04 16:17:02 AMT 2024","Thu Jul 04 16:17:03 AMT 2024","604","","Booking Creation Tests","TestBookingCreate","","","Test Booking Creation","This test verifies that a new booking can be created successfully"
"passed","Thu Jul 04 16:17:12 AMT 2024","Thu Jul 04 16:17:13 AMT 2024","611","","Booking Update Tests","TestBookingUpdate","","","Test Booking Partial Update","This test verifies that a booking can be partially updated successfully"
"passed","Thu Jul 04 16:17:14 AMT 2024","Thu Jul 04 16:17:15 AMT 2024","598","","Booking Update Tests","TestBookingUpdate","","","Test Booking Negative Partial Update","This test verifies that an invalid update to a booking returns the appropriate error response"
"passed","Thu Jul 04 16:17:16 AMT 2024","Thu Jul 04 16:17:17 AMT 2024","593","","Booking Ping Test","TestBookingPing","","","Test Booking Service Ping","This test verifies that the booking service is reachable and responds to a ping request"
